Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,extra_0,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,extra_1
64,Jarrod Bowen,eng ENG,MF,FW,West Ham United,28,1996,37.8,0.11,0.00,0.00,0.50,1.30,0.45,3.92,0.71,0.74,,,0.00,Matches,1996,38,38,403,37.8,0.24,0.29,0.53,0.21,0.11,0.00,0.24,0.29,0.53,Matches
65,Conor Bradley,nir NIR,DF,Liverpool,22,2003,10.3,0.49,0.00,0.00,1.75,1.94,0.10,2.23,1.17,1.46,,,0.00,Matches,,15,12,929,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,
66,Jarrad Branthwaite,eng ENG,DF,Everton,23,2002,7.6,0.13,0.00,0.00,0.39,0.13,0.13,0.39,1.45,0.79,,,0.00,Matches,,10,7,680,0.13,0.00,0.13,0.13,0.00,0.00,0.13,0.00,0.13,0.13,0.13,
67,Brian Brobbey,nl NED,FW,Sunderland,23,2002,21.4,0.28,0.00,0.00,1.54,1.73,0.37,0.09,0.00,0.09,,,0.00,Matches,,31,22,1,21.4,0.33,0.05,0.37,0.33,0.00,0.00,0.33,0.05,0.37,0.33,
68,Armando Broja,al ALB,FW,Burnley,23,2001,9.6,0.00,0.00,0.00,1.46,1.67,0.63,0.31,0.31,0.31,,,0.00,Matches,,24,8,860,0.10,0.10,0.21,0.10,0.00,0.00,0.10,0.10,0.21,0.10,0.21,
69,David Brooks,wls WAL,MF,Bournemouth,28,1997,13.4,0.52,0.00,0.00,0.82,0.97,0.15,4.40,0.30,0.97,,,0.00,Matches,,31,13,1,13.4,0.07,0.22,0.30,0.07,0.00,0.00,0.07,0.22,0.30,0.07,
70,Jacob Bruun Larsen,dk DEN,MF,FW,Burnley,26,1998,11.4,0.00,0.00,0.00,0.09,0.00,0.35,3.68,0.53,0.26,,,0.00,Matches,1998,28,10,030,11.4,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.09,0.09,Matches
71,Emi Buendía,ar ARG,MF,Aston Villa,28,1996,19.5,0.31,0.00,0.00,2.10,2.31,0.05,0.51,0.67,1.38,,,0.00,Matches,,36,21,1,19.5,0.31,0.10,0.41,0.31,0.00,0.00,0.31,0.10,0.41,0.31,
72,Hugo Bueno,es ESP,MF,DF,Wolves,22,2002,26.3,0.11,0.00,0.00,0.65,0.91,0.11,6.31,1.25,1.33,,,0.00,Matches,2002,35,26,366,26.3,0.04,0.08,0.11,0.04,0.11,0.00,0.04,0.08,0.11,Matches
73,Santiago Bueno,uy URU,DF,Wolves,26,1998,28.4,0.14,0.00,0.00,1.02,0.39,0.07,0.21,0.95,1.06,,,0.00,Matches,,29,28,2,28.4,0.11,0.04,0.14,0.11,0.00,0.00,0.11,0.04,0.14,0.11,
