player_name,Nation,Pos,Squad,Age,Born,Appearances,Starts,Min,90s,Goals,Assists,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,position
Nilson Angulo,ec ECU,MF,Sunderland,22,2003,8.0,5,404,4.5,0.0,0.0,0.00,0.22,0.00,2.44,0.67,0.22,1.56,1.11,1.56,,,0.00,CM
Jaidon Anthony,eng ENG,MF,Burnley,25,1999,37.0,32,2,30.2,30.2,0.26,0.07,0.13,0.00,0.89,1.56,0.30,2.65,0.53,0.7,,,0.00,CM
Alphonse Areola,fr FRA,GK,West Ham United,32,1993,20.0,20,1,20.0,20.0,0.0,0.05,0.00,0.00,0.05,0.05,0.00,0.00,0.05,0.0,,,0.00,GK
Jhon Arias,co COL,FW,MF,Wolves,27,1997.0,23,14,1997,124.0,12.5,0.08,12.5,0.08,0.00,2.08,0.72,0.24,2.4,0.56,2.16,,,IF
Adam Armstrong,eng ENG,FW,MF,Wolves,28,1997.0,14,14,1997,140.0,12.7,0.16,12.7,0.24,0.00,0.94,0.24,0.39,0.39,0.08,0.31,,,IF
Harrison Armstrong,eng ENG,MF,Everton,18,2007,13.0,6,529,5.9,0.0,0.0,0.00,0.00,0.00,1.02,2.54,0.34,0.51,0.68,1.69,,,0.00,CM
Tolu Arokodare,ng NGA,FW,Wolves,24,2000,33.0,13,1,15.8,15.8,0.19,0.06,0.06,0.00,1.14,1.08,0.38,0.00,0.32,0.25,,,0.00,ST
Kepa Arrizabalaga,es ESP,GK,Arsenal,30,1994,1.0,1,90,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,GK
Taiwo Awoniyi,ng NGA,FW,Nottingham Forest,27,1997,17.0,3,494,5.5,0.73,0.18,0.91,0.36,0.00,1.82,1.27,1.09,0.18,0.18,0.18,,,0.00,IF
Yasin Ayari,se SWE,MF,Brighton,21,2003,29.0,20,1,21.4,21.4,0.14,0.14,0.05,0.00,1.12,1.31,0.00,1.12,1.21,1.17,,,0.00,CM
Benoît Badiashile,fr FRA,DF,Chelsea,24,2001,8.0,6,471,5.2,0.0,0.0,0.00,0.38,0.00,1.15,0.38,0.00,0.00,1.73,0.96,,,0.00,LB
Leon Bailey,jm JAM,MF,Aston Villa,27,1997,13.0,3,459,5.1,0.0,0.2,0.20,0.20,0.00,1.18,0.98,0.20,3.73,0.78,1.18,,,0.00,CM
Dilane Bakwa,fr FRA,MF,Nottingham Forest,22,2002,14.0,6,553,6.1,0.0,0.33,0.33,0.16,0.00,1.48,2.30,0.00,6.23,0.0,0.49,,,0.00,CM
Carlos Baleba,cm CMR,MF,Brighton,21,2004,31.0,23,1,18.4,18.4,0.0,0.00,0.27,0.00,1.68,1.30,0.00,0.00,1.52,1.14,,,0.00,CM
Daniel Ballard,nir NIR,DF,Sunderland,25,1999,29.0,24,2,23.9,23.9,0.08,0.00,0.17,0.04,1.21,1.21,0.13,0.04,0.84,0.71,,,0.00,LB
Ross Barkley,eng ENG,MF,Aston Villa,31,1993,21.0,7,857,9.5,0.32,0.11,0.42,0.11,0.00,0.95,0.84,0.00,0.00,0.21,1.16,,,0.00,CM
Ashley Barnes,eng ENG,FW,MF,Burnley,35,1989.0,7,0,1989,0.5,0.0,0.00,0.5,4.00,0.00,4.00,4.00,4.00,0.0,0.0,0.00,,,IF
